station ;Lat;Long;Unknow_km2;Built-up (over 80%)_Km2;Built-up (under 80%)_km2;Other built-up_km2;Industry_km2;Road_km2;Railway_km2;Flight strip_km2;Path_km2;Agriculture extensive_km2;Agriculture intensive_km2;Agriculture unknow_km2;Gravl pit_km2;Forest_km2;Lake_km2;Stream_km2;Dry naturetype_km2;Wet/temporarily wet naturetype_km2
1;55,26881111;10,22772222;2,745704753;0,002394106;6,948749692;0,055064444;0,628213484;0,060092067;0,038976051;0,019679562;0,37046401;3,666813249;54,13591391;3,734135369;0,135650062;17,14304642;3,6608758;0,63544369;0,711720054;4,780216245
2;55,27436944;10,2391;2,729582019;0,002163347;6,743932593;0,05031946;0,580902059;0,057415227;0,051530938;0,017782724;0,338434077;3,668734456;54,97251858;3,544168779;0,122575266;16,91755056;3,375773882;0,577613767;0,708236802;5,015591238
3;55,27313611;10,23683333;2,581178603;0;4,788031872;0,00584179;0,137507165;0,032354467;0,169412329;0;0,038196405;3,690672032;62,83938635;1,765123607;0;14,80043558;0,700117729;0,035500193;0,676301068;7,229906461
4;55,27203056;10,23042778;2,569117412;0;4,789436402;0,005858349;0,137896935;0,032446177;0,169892536;0;0,038304675;3,660575516;62,97514703;1,770126931;0;14,70854704;0,695342595;0,03560082;0,652080764;7,248146749
5;55,26508056;10,17598333;14,89213293;0;6,193457155;0;0;0;0;0;0;14,19624503;0;1,67014575;0;50,24356839;3,618649124;0;0;9,185801623
6;55,13273889;10,34714722;0,307062496;0;1,323292788;0,00731101;0;0;0;0;0,155968218;0,838329184;16,62645709;0,905347041;0,110883658;55,74645292;13,60213484;0,461812157;0,553199787;9,361748811
7;55,14669444;10,34110556;1,38743539;0;2,797548312;0,01279278;0;0,01453725;0;0;0,279115192;3,151676076;26,64968805;1,092619771;0,052915589;48,0159555;7,824529267;0,352382932;0,719884604;7,452375675
8;55,17835;10,33878333;2,711806016;0;5,984748961;0,045430424;0,529370955;0,119077407;0,088553847;0,044010726;0,270807933;3,248275529;64,73569592;2,16628603;0;14,75814516;1,04986876;0,811359024;0,314286298;2,794858509
9;55,16648333;10,33306111;2,30948816;0;4,17015628;0,00890405;0,143299558;0,033390188;0;0;0,295503174;4,450077513;23,45688659;2,434423021;0,025320893;37,61098807;15,4969429;0,215644966;1,010331604;8,140249661
10;55,17828611;10,337575;2,310845196;0;4,205444073;0,008874;0,142815938;0,0332775;0;0;0,294505883;4,435058977;23,40184829;2,456711478;0,025235438;37,70063607;15,4518525;0,214917188;1,006921843;8,1130545
11;55,14619722;10,28803333;0,878378071;0;1,067567194;0;0;0;0;0;1,337837788;0;0,108108489;1,689188597;0;87,51350949;1,189188773;0;2,040547388;4,175674213
12;55,15132778;10,30052778;1,563166921;0;2,169641519;0;0;0;0;0;0,845647943;1,375245215;0,726061403;1,067736968;0;64,60237873;1,025027489;0;14,87998716;11,74510665
13;55,22893611;10,35633333;4,191018674;0,01067286;11,14929586;0,074283107;1,750135578;0,050375897;0,067239014;0;0,846784735;3,224484486;58,70606492;3,224911039;0,032872409;9,344729434;1,285652743;0,812418116;0,737067723;3,430043804
14;55,21868889;10,39391944;4,801959233;0,015479206;13,25081865;0,052319716;2,26151192;0,060678487;0,046128033;0;1,194685116;3,675072999;54,969753;3,362083251;0;9,306098524;1,332759618;0,796250346;0,793154504;2,629297895
15;55,21823611;10,42275278;4,861958778;0,015973319;13,31855248;0,053350885;2,333701823;0,06261541;0,04760049;0;1,232820756;3,15856401;56,01203688;3,15920273;0;9,263885951;1,312687335;0,720396676;0,524883254;2,472989209
